timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1763076609316.00,851,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,225,137,5,5,http://localhost:7071/api/DS_httpTrigger,851,0,2
1763076609727.00,973,HTTP Request,200,OK,Thread Group 1-3,text,TRUE,,225,137,7,7,http://localhost:7071/api/DS_httpTrigger,973,0,1
1763076610320.00,920,HTTP Request,200,OK,Thread Group 1-6,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,920,0,1
1763076610915.00,863,HTTP Request,200,OK,Thread Group 1-9,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,863,0,1
1763076611241.00,1033,HTTP Request,200,OK,Thread Group 1-6,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,1033,0,0
1763076611778.00,1009,HTTP Request,200,OK,Thread Group 1-9,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,1009,0,0
1763076612275.00,1061,HTTP Request,200,OK,Thread Group 1-6,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,1061,0,0
1763076612788.00,1054,HTTP Request,200,OK,Thread Group 1-9,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,1054,0,0
1763076610119.00,4247,HTTP Request,200,OK,Thread Group 1-5,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,4247,0,1
1763076613843.00,1085,HTTP Request,200,OK,Thread Group 1-9,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,1084,0,0
1763076614367.00,1096,HTTP Request,200,OK,Thread Group 1-5,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,1096,0,0
1763076614928.00,1058,HTTP Request,200,OK,Thread Group 1-9,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,1058,0,0
1763076610714.00,5813,HTTP Request,200,OK,Thread Group 1-8,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,5813,0,1
1763076615986.00,1108,HTTP Request,200,OK,Thread Group 1-9,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,1108,0,0
1763076615463.00,2173,HTTP Request,200,OK,Thread Group 1-5,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,2173,0,0
1763076610514.00,7644,HTTP Request,200,OK,Thread Group 1-7,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,7644,0,1
1763076617637.00,1038,HTTP Request,200,OK,Thread Group 1-5,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,1038,0,0
1763076618159.00,1040,HTTP Request,200,OK,Thread Group 1-7,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,1040,0,0
1763076618674.00,1041,HTTP Request,200,OK,Thread Group 1-5,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,1041,0,0
1763076619199.00,1028,HTTP Request,200,OK,Thread Group 1-7,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,1028,0,0
1763076619716.00,1021,HTTP Request,200,OK,Thread Group 1-5,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,1021,0,0
1763076620227.00,1046,HTTP Request,200,OK,Thread Group 1-7,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,1046,0,0
1763076610701.00,11135,HTTP Request,200,OK,Thread Group 1-3,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,11135,0,0
1763076621273.00,1157,HTTP Request,200,OK,Thread Group 1-7,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,1157,0,0
1763076617094.00,6776,HTTP Request,200,OK,Thread Group 1-9,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,6775,0,0
1763076622431.00,2001,HTTP Request,200,OK,Thread Group 1-7,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,2001,0,0
1763076623869.00,1118,HTTP Request,200,OK,Thread Group 1-9,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,1117,0,0
1763076624432.00,1077,HTTP Request,200,OK,Thread Group 1-7,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,1077,0,0
1763076624987.00,1142,HTTP Request,200,OK,Thread Group 1-9,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,1142,0,0
1763076625509.00,1225,HTTP Request,200,OK,Thread Group 1-7,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,1225,0,0
1763076611114.00,16151,HTTP Request,200,OK,Thread Group 1-10,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,16151,0,1
1763076620738.00,7074,HTTP Request,200,OK,Thread Group 1-5,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,7074,0,0
1763076613337.00,15020,HTTP Request,200,OK,Thread Group 1-6,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,15020,0,0
1763076627813.00,1094,HTTP Request,200,OK,Thread Group 1-5,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,1094,0,0
1763076609919.00,19304,HTTP Request,500,Internal Server Error,Thread Group 1-4,text,FALSE,,756,137,10,10,http://localhost:7071/api/DS_httpTrigger,19304,0,1
1763076628357.00,1092,HTTP Request,200,OK,Thread Group 1-6,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,1092,0,0
1763076628907.00,1067,HTTP Request,200,OK,Thread Group 1-5,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,1067,0,0
1763076629449.00,1086,HTTP Request,200,OK,Thread Group 1-6,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,1086,0,0
1763076629975.00,1092,HTTP Request,200,OK,Thread Group 1-5,text,TRUE,,225,137,10,10,http://localhost:7071/api/DS_httpTrigger,1092,0,0
1763076630536.00,1069,HTTP Request,200,OK,Thread Group 1-6,text,TRUE,,225,137,9,9,http://localhost:7071/api/DS_httpTrigger,1069,0,0
1763076621837.00,10280,HTTP Request,200,OK,Thread Group 1-3,text,TRUE,,225,137,9,9,http://localhost:7071/api/DS_httpTrigger,10280,0,0
1763076626130.00,6523,HTTP Request,200,OK,Thread Group 1-9,text,TRUE,,225,137,9,9,http://localhost:7071/api/DS_httpTrigger,6523,0,0
1763076632117.00,1040,HTTP Request,200,OK,Thread Group 1-3,text,TRUE,,225,137,8,8,http://localhost:7071/api/DS_httpTrigger,1040,0,0
1763076626734.00,6961,HTTP Request,200,OK,Thread Group 1-7,text,TRUE,,225,137,8,8,http://localhost:7071/api/DS_httpTrigger,6961,0,0
1763076633157.00,1039,HTTP Request,200,OK,Thread Group 1-3,text,TRUE,,225,137,8,8,http://localhost:7071/api/DS_httpTrigger,1039,0,0
1763076633696.00,1062,HTTP Request,200,OK,Thread Group 1-7,text,TRUE,,225,137,8,8,http://localhost:7071/api/DS_httpTrigger,1062,0,0
1763076634196.00,1067,HTTP Request,200,OK,Thread Group 1-3,text,TRUE,,225,137,7,7,http://localhost:7071/api/DS_httpTrigger,1067,0,0
1763076609527.00,26294,HTTP Request,200,OK,Thread Group 1-2,text,TRUE,,225,137,7,7,http://localhost:7071/api/DS_httpTrigger,26294,0,1
1763076635264.00,1054,HTTP Request,200,OK,Thread Group 1-3,text,TRUE,,225,137,7,7,http://localhost:7071/api/DS_httpTrigger,1054,0,0
1763076635821.00,1054,HTTP Request,200,OK,Thread Group 1-2,text,TRUE,,225,137,7,7,http://localhost:7071/api/DS_httpTrigger,1054,0,0
1763076636319.00,1069,HTTP Request,200,OK,Thread Group 1-3,text,TRUE,,225,137,7,7,http://localhost:7071/api/DS_httpTrigger,1068,0,0
1763076636876.00,1051,HTTP Request,200,OK,Thread Group 1-2,text,TRUE,,225,137,7,7,http://localhost:7071/api/DS_httpTrigger,1051,0,0
1763076637427.00,1011,HTTP Request,200,OK,Thread Group 1-3,text,TRUE,,225,137,7,7,http://localhost:7071/api/DS_httpTrigger,1011,0,0
