timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1763080150381,2951,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,227,168,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,2951,0,1
1763080152181,3986,HTTP Request,200,OK,Thread Group 1-10,text,TRUE,,227,168,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,3986,0,1
1763080153332,5709,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,227,168,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,5709,0,0
1763080156167,5725,HTTP Request,200,OK,Thread Group 1-10,text,TRUE,,227,168,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,5725,0,0
1763080159041,5638,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,227,168,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,5638,0,0
1763080161892,5867,HTTP Request,200,OK,Thread Group 1-10,text,TRUE,,227,168,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,5867,0,0
1763080150780,19844,HTTP Request,200,OK,Thread Group 1-3,text,TRUE,,227,168,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,19844,0,1
1763080151590,21867,HTTP Request,200,OK,Thread Group 1-7,text,TRUE,,227,168,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,21867,0,1
1763080170625,6397,HTTP Request,200,OK,Thread Group 1-3,text,TRUE,,227,168,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,6397,0,0
1763080173458,7033,HTTP Request,200,OK,Thread Group 1-7,text,TRUE,,227,168,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,7033,0,0
1763080150980,32721,HTTP Request,200,OK,Thread Group 1-4,text,TRUE,,227,168,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,32721,0,1
1763080150595,36912,HTTP Request,200,OK,Thread Group 1-2,text,TRUE,,227,168,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,36912,0,1
1763080183701,9155,HTTP Request,200,OK,Thread Group 1-4,text,TRUE,,227,168,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,9154,0,0
1763080187507,9135,HTTP Request,200,OK,Thread Group 1-2,text,TRUE,,227,168,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,9135,0,0
1763080192857,6361,HTTP Request,200,OK,Thread Group 1-4,text,TRUE,,227,168,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,6361,0,0
1763080196643,5490,HTTP Request,200,OK,Thread Group 1-2,text,TRUE,,227,168,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,5490,0,0
1763080199219,5499,HTTP Request,200,OK,Thread Group 1-4,text,TRUE,,227,168,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,5499,0,0
1763080202134,5381,HTTP Request,200,OK,Thread Group 1-2,text,TRUE,,227,168,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,5381,0,0
1763080204718,5357,HTTP Request,200,OK,Thread Group 1-4,text,TRUE,,227,168,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,5357,0,0
1763080207514,5289,HTTP Request,200,OK,Thread Group 1-2,text,TRUE,,227,168,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,5289,0,0
1763080210075,5310,HTTP Request,200,OK,Thread Group 1-4,text,TRUE,,227,168,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,5310,0,0
1763080212803,5486,HTTP Request,200,OK,Thread Group 1-2,text,TRUE,,227,168,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,5486,0,1
1763080215386,5479,HTTP Request,200,OK,Thread Group 1-4,text,TRUE,,227,168,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,5479,0,0
1763080218290,5320,HTTP Request,200,OK,Thread Group 1-2,text,TRUE,,227,168,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,5320,0,0
1763080220865,5285,HTTP Request,200,OK,Thread Group 1-4,text,TRUE,,227,168,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,5285,0,0
1763080223610,5232,HTTP Request,200,OK,Thread Group 1-2,text,TRUE,,227,168,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,5231,0,0
1763080226150,5214,HTTP Request,200,OK,Thread Group 1-4,text,TRUE,,227,168,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,5214,0,0
1763080228842,5265,HTTP Request,200,OK,Thread Group 1-2,text,TRUE,,227,168,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,5265,0,0
1763080231364,5270,HTTP Request,200,OK,Thread Group 1-4,text,TRUE,,227,168,10,10,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,5270,0,0
1763080234108,5208,HTTP Request,200,OK,Thread Group 1-2,text,TRUE,,227,168,9,9,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,5208,0,0
1763080151981,89730,HTTP Request,200,OK,Thread Group 1-9,text,TRUE,,227,168,8,8,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,89730,0,1
1763080177022,67489,HTTP Request,200,OK,Thread Group 1-3,text,TRUE,,227,168,8,8,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,67489,0,0
1763080241712,5323,HTTP Request,200,OK,Thread Group 1-9,text,TRUE,,227,168,8,8,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,5323,0,1
1763080244511,5324,HTTP Request,200,OK,Thread Group 1-3,text,TRUE,,227,168,8,8,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,5324,0,2
1763080164680,87925,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,227,168,8,8,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,87925,0,0
1763080249836,5522,HTTP Request,200,OK,Thread Group 1-3,text,TRUE,,227,168,8,8,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,5522,0,0
1763080252606,5540,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,227,168,8,8,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,5540,0,1
1763080255359,5608,HTTP Request,200,OK,Thread Group 1-3,text,TRUE,,227,168,8,8,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,5607,0,0
1763080258148,5556,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,227,168,8,8,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,5556,0,0
1763080260968,5449,HTTP Request,200,OK,Thread Group 1-3,text,TRUE,,227,168,8,8,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,5449,0,0
1763080263703,5455,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,227,168,8,8,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,5455,0,0
1763080266417,5447,HTTP Request,200,OK,Thread Group 1-3,text,TRUE,,227,168,8,8,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,5447,0,0
1763080269158,5426,HTTP Request,200,OK,Thread Group 1-1,text,TRUE,,227,168,8,8,http://localhost:7071/api/DS_httpTrigger?sensor_count=100&batch_size=10,5426,0,0
